family_name	first_name	other_name	Count
NA	NA	NA	324663
Sparre	Carl	NA	288
Edelcreutz	Daniel	NA	264
Gjörwell	Carl Christoffer	NA	202
Liljencrants	Johan	NA	184
NA	NA	Leffler, Sven Peter,;Bruzelius, Emanuel	150
Ugglas	Samuel af	NA	138
Franzos	Marie	NA	124
Kullberg	Herman Anders	NA	112
Georgii	Pehr Eberhard (Evert)	NA	109
Celsing	Gustaf	NA	108
NA	NA	Karl	89
Poppius	Gabriel	NA	88
Nyström	Jenny	NA	87
Edelcrantz	Abraham Niclas	NA	86
Wachtmeister	Carl Axel	NA	86
Sprengtporten	Jakob Wilhelm	NA	79
Mörner	Carl Carlsson	NA	79
Sjölin	Walter	NA	77
Schering	Emil	NA	75
Tibell	Gustaf Wilhelm af	NA	75
Carleson	Edvard	NA	74
Rosir	Johan	NA	73
Schroderus	Ericus Benedicti	NA	71
Quensel	Conrad	NA	71
Gerdesschiöld	Johan	NA	70
Landquist	John	NA	69
Strokirch	Henning Adolph von	NA	69
Thulin	Elsa	NA	68
Fuchs	Rutger	NA	67
Rönigk	Olof	NA	67
NA	NA	Ulrika Eleonora	65
Löfvenskjöld	Salomon	NA	62
NA	NA	Oskar	61
Krutmejer	David	NA	61
Edfelt	Johannes	NA	60
Salvius	Lars	NA	60
Klintberg	Carl Peter af	NA	58
Stjernstolpe	Jonas Magnus	NA	57
Loenbom	Samuel	NA	56
Frykstrand	Kerstin	NA	55
Nerman	Einar	NA	55
NA	NA	Ohlén, Carl-Eric,;Sydow, Waldemar von,;Björkman, Sten	54
Luther	Martin	NA	53
Axelson	Axel von	NA	53
Lundberg	Lucie	NA	53
Warburg	Karl	NA	51
Hultenberg	Hugo	NA	50
Klinckowström	Leonhard	NA	50
Lundmark	Sven Daniel	NA	50
Nordin	Carl Johan af	NA	49
Ehrencron-Kidde	Astrid	NA	49
Nachman	Oscar	NA	49
Blomkvist	Torsten	NA	48
Jensen	Karin	NA	47
Djurström	Erik Wilhelm	NA	47
Edman	Johan	NA	47
Cederström	Rudolf	NA	46
Grefing	Lorentz Ludvig	NA	45
Modée	Carl Wilhelm	NA	45
NA	NA	Gjörwell, Carl Christoffer,;Stechau, Johan Adolf	45
Wahrman	Sven Niclas	NA	45
Alin	Karin	NA	44
Lagerheim	Olof Elias	NA	44
Nordenadler	Ebba	NA	44
Gezelius	Johannes	NA	44
Törnell	Aida	NA	43
Sundelöf	Fritz Gustaf	NA	43
Claes¨on	Axel	NA	42
Hammar	Birgitta	NA	42
de Laval	Karin	NA	42
Carlbohm	Johan Arvid	NA	42
Theselius	Gösta	NA	41
Hermansson	Matthias von	NA	41
Fink	Gottlob	NA	40
Essen	Hans Henric von	NA	40
Rademine	Carl Eric	NA	40
Flygare	Hanna	NA	39
Wijsman	Philippine	NA	39
Lundén-Welden	Gunnar	NA	39
Cronhielm	Aline	NA	39
Ödmann	Samuel	NA	39
Arnell	Lars	NA	38
Wallenstedt	Lars	NA	37
Hedin	Sven Anders	NA	37
Menlös	Daniel	NA	37
Drangel	Mathilda	NA	36
NA	NA	Erixon, Sigurd,;Ericson, Olof	36
Ahlberg	Alf	NA	36
Horn	Gustaf Adolph	NA	36
Byberg	Anders Teodor	NA	36
Lagerlöf	Selma	NA	35
Lundquist	Ernst	NA	35
Jonas	Emil	NA	35
Bremer	Fredrika	NA	35
Berg	Ruben G:son	NA	35
Klaiber-Gottschau	Pauline	NA	35
Lagerström	Magnus	NA	35
Ekstrand	Einar	NA	34
Cederström	Bror	NA	34
Ringstrand	Willard	NA	34
Rybrant	Gösta	NA	34
Falkenberg	Gabriel	NA	34
Stenberg-Masolle	Aina	NA	34
Sondén	Per Adolf	NA	33
Skjöldebrand	Anders Fredrik	NA	33
Bergvall	Sonja	NA	33
Altén	Mårten	NA	33
Widholm	Gunnar	NA	32
Wester	Ellen	NA	32
Stolpe	Carl	NA	32
Vang Nyman	Ingrid	NA	31
Wilson	Tom	NA	31
Cronstedt	Claes August	NA	31
Nilsson	Thord-Arne	NA	31
Fougt	Henric	NA	31
Sandels	Johan August	NA	31
Barthel	Sven	NA	31
Lantz	Vanja	NA	31
Lilljebjörn	Elisabeth	NA	31
Almqvist	Josef	NA	31
Frisch	Carl Friedrich	NA	30
Hedberg	Walborg	NA	30
Deleen	Carl Erik	NA	30
Lindvall	Gunnar	NA	30
Klingspor	Wilhelm Mauritz	NA	30
Wulff	Fredrik	NA	30
Eriksson	Gustaf	NA	30
Kruuse-Rasmussen	Ib	NA	29
Larsson	Carl	NA	28
Elfelt	Kjeld	NA	28
Kurck	Arvid Fredrik	NA	28
Högelin	Gösta	NA	28
Meyer-Lüne	Ilse	NA	28
Bellman	Carl Michael	NA	28
Davidson	Aslög	NA	28
Arnold	Harry	NA	27
Frölich	Carl	NA	27
Wenström	Kerstin	NA	27
Morgan	Tore	NA	27
Celsius	Nils	NA	27
Strindberg	August	NA	26
Jensen	Alfred	NA	26
Oxenstierna	Johan Gabriel	NA	26
De la Gardie	Gustaf Adolf	NA	26
Strömfelt	Otto Reinhold	NA	26
Edlund	Mårten	NA	26
Weltzin	Carolin	NA	26
Stålhammar	Carl Leonard	NA	26
Blomberg	Erik	NA	25
Warburton	Thomas	NA	25
Lundegård	Axel	NA	25
Howitt	Mary Botham	NA	25
Ljungdahl	David	NA	25
Kretzschmar	August	NA	25
Werner	Johan Heinrich	NA	25
Walter	Andrew	NA	24
Arnesson	Tryggve	NA	24
Åkerhielm	Gallie	NA	24
Lange	Johan Georg	NA	24
Holmberg	Johan Christopher	NA	24
Krook	Samuel	NA	24
Wassenius	Birger Jonas	NA	24
Thomée	Gustaf	NA	23
Hergin	Stina	NA	23
Lundahl	Ivar	NA	23
Dalquist	Valdemar	NA	23
NA	NA	Petrus Johannis Gothus	23
Strinnholm	Anders Magnus	NA	23
Wistrand	Anders	NA	23
Angelini	Jöns Eric	NA	23
Böök	Fredrik	NA	22
Åhlström	Olof	NA	22
Stolpe	Sven	NA	22
Berg	Yngve	NA	22
Broman	Erland	NA	22
Cronstedt	Carl Johan	NA	22
Linné	Carl von	NA	22
Falk	Georg	NA	22
Orrelius	Magnus	NA	22
Clason	Hjalmar	NA	22
Bergström	Adil	NA	22
Elvius	Pehr	NA	22
Roosval	Albin	NA	21
Eichhorn	Christoffer	NA	21
Dumrath	Oskar Heinrich	NA	21
NA	NA	Finnur Jónsson	21
Bergman	Johan	NA	21
Hammarsköld	Lorenzo	NA	21
Halvorsen	J. H	NA	21
Krohn	Helmi	NA	21
Meijboom	Margaretha	NA	21
Mundt	Gerda	NA	21
Moberg	Einar	NA	21
NA	NA	Karl-Ewert	21
Funtek-Snellman	Gemma	NA	21
Granlund	J	NA	21
Hallqvist	Britt G	NA	21
Nihlén	Axel	NA	21
Rodhe	Emil	NA	21
Forssén	Eric	NA	21
Breda	Jeannette von	NA	21
Spaldencreutz	Arvid Johan	NA	21
Söderblom	Nathan	NA	20
Nerman	Ture	NA	20
Johansson	Gundla	NA	20
Larsson	Robert	NA	20
Ahlenius	Holger	NA	20
Hollander	Else von	NA	20
Eichel	Carl	NA	20
Basenau-Goemans	Nora	NA	20
Risberg	Bernhard	NA	20
Brusewitz	Gunnar	NA	20
Stålarm	Axel	NA	20
Momma	Peter	NA	20
Olzon	Gösta	NA	20
Beskow	Elsa	NA	20
Johnson	Cilla	NA	20
Celsius	Anders	NA	20
Wikström	N M	NA	20
NA	NA	Tybeck, Johan,;Klingvall, Pehr,;Deleen, Carl Erik	20
Bure	Johan Gustaf	NA	20
Riddermarck	Andreas	NA	20
Nordström	Ludvig	NA	19
Kenicius	Petrus	NA	19
Hall	B. Rudolf	NA	19
